# All infantry equipment

equipments = {

	twi_lazer_equipment = {
		year = 1936
	
		is_archetype = yes
		picture = archetype_air_skirmisher_equipment		
		is_buildable = yes
		type = cas
		group_by = archetype
		
		interface_category = interface_category_land
		
		active = no
		
		#Misc Abilities
		reliability = 1.35
		maximum_speed = 50
		manpower = 6
		air_range = 500

		air_agility = 60
		air_attack = 8
		air_defence = 9
		air_bombing = 0
		air_ground_attack = 1
		air_superiority = 0.5

		# Air vs Navy - high damage / low hit chance / hard to hurt
		naval_strike_attack = 3
		naval_strike_targetting = 0.5

		#Space taken in convoy
		lend_lease_cost = 6
		
		build_cost_ic = 25
		resources = {
			steel = 0
			#rare_metal = 1
			#wood = 1
			#chemicals = 2
		}

		fuel_consumption = 0
		#food
	}

	twi_lazer_equipment_1 = {
		year = 1936
	
		archetype = twi_lazer_equipment
		active = no
		priority = 05
		visual_level = 0
	}


	air_carabiners_equipment_1 = {
		year = 1936
	
		archetype = air_carabiners_equipment
		active = no
		priority = 05
		visual_level = 0

		#Misc Abilities
		reliability = 1.35
		maximum_speed = 60
		manpower = 6
		air_range = 600

		air_agility = 60
		air_attack = 20
		air_defence = 18
		air_bombing = 0
		air_ground_attack = 2
		air_superiority = 0.5

		# Air vs Navy - high damage / low hit chance / hard to hurt
		naval_strike_attack = 0
		naval_strike_targetting = 0

		#Space taken in convoy
		lend_lease_cost = 6
		
		build_cost_ic = 45
		resources = {
			steel = 0
			#rare_metal = 1
			#wood = 1
			#chemicals = 2
		}

		fuel_consumption = 0
		#food

	}

	air_carabiners_equipment_2 = {
		year = 1936
	
		archetype = air_skirmisher_equipment
		active = no
		priority = 05
		visual_level = 0

		#Misc Abilities
		reliability = 1.35
		maximum_speed = 70
		manpower = 6
		air_range = 700

		air_agility = 80
		air_attack = 60
		air_defence = 50
		air_bombing = 0
		air_ground_attack = 5
		air_superiority = 0.5

		# Air vs Navy - high damage / low hit chance / hard to hurt
		naval_strike_attack = 0
		naval_strike_targetting = 0

		#Space taken in convoy
		lend_lease_cost = 6
		
		build_cost_ic = 90
		resources = {
			steel = 0
			#rare_metal = 1
			#wood = 1
			#chemicals = 2
		}

		fuel_consumption = 0
		#food

	}

	air_grenadiers_equipment_1 = {
		year = 1936
	
		archetype = air_skirmisher_equipment
		active = no
		priority = 05
		visual_level = 0

		#Misc Abilities
		reliability = 1.35
		maximum_speed = 50
		manpower = 6
		air_range = 500

		air_agility = 40
		air_attack = 11
		air_defence = 11
		air_bombing = 0
		air_ground_attack = 6
		air_superiority = 0

		# Air vs Navy - high damage / low hit chance / hard to hurt
		naval_strike_attack = 8
		naval_strike_targetting = 2

		#Space taken in convoy
		lend_lease_cost = 6
		
		build_cost_ic = 60
		resources = {
			steel = 0
			#rare_metal = 1
			#wood = 1
			#chemicals = 2
		}

		fuel_consumption = 0
		#food

	}


	air_grenadiers_equipment_2 = {
		year = 1936
	
		archetype = air_skirmisher_equipment
		active = no
		priority = 05
		visual_level = 0

		#Misc Abilities
		reliability = 1.35
		maximum_speed = 50
		manpower = 6
		air_range = 550

		air_agility = 45
		air_attack = 15
		air_defence = 15
		air_bombing = 0
		air_ground_attack = 12
		air_superiority = 0

		# Air vs Navy - high damage / low hit chance / hard to hurt
		naval_strike_attack = 20
		naval_strike_targetting = 4

		#Space taken in convoy
		lend_lease_cost = 6
		
		build_cost_ic = 150
		resources = {
			steel = 0
			#rare_metal = 1
			#wood = 1
			#chemicals = 2
		}

		fuel_consumption = 0
		#food

	}

}



	
