# All infantry equipment

equipments = {

	sky_cruiser_equipment = {
		year = 1936
	
		is_archetype = yes
		picture = archetype_infantry_equipment		
		is_buildable = no
		type = fighter interceptor
		group_by = archetype
		
		interface_category = interface_category_land
		
		active = no
		
		#Misc Abilities
		reliability = 0.8
		maximum_speed = 40
		manpower = 500
		air_range = 2000

		air_agility = 2
		air_attack = 500
		air_defence = 2000
		air_bombing = 1000
		air_ground_attack = 400
		air_superiority = 60

		# Air vs Navy - high damage / low hit chance / hard to hurt
		naval_strike_attack = 120
		naval_strike_targetting = 16

		#Space taken in convoy
		lend_lease_cost = 90
		
		build_cost_ic = 8000
		resources = {
			wood = 0
			#rare_metal = 1
			#wood = 1
			#chemicals = 2
		}

		fuel_consumption = 0.5
		#food
	}

	sky_cruiser_equipment_1 = {
		year = 967
	
		archetype = sky_cruiser
		active = no
		priority = 05
		visual_level = 0

		#Misc Abilities
		reliability = 0.8
		maximum_speed = 40
		manpower = 500
		air_range = 2000

		air_agility = 2
		air_attack = 500
		air_defence = 2000
		air_bombing = 1000
		air_ground_attack = 400
		air_superiority = 60

		# Air vs Navy - high damage / low hit chance / hard to hurt
		naval_strike_attack = 120
		naval_strike_targetting = 16

		#Space taken in convoy
		lend_lease_cost = 90
		
		build_cost_ic = 8000
		resources = {
			wood = 0
			#rare_metal = 1
			#wood = 1
			#chemicals = 2
		}

		fuel_consumption = 0.5
		#food
	}

	sky_cruiser_equipment_2 = {
		year = 1936
	
		archetype = sky_cruiser_equipment
		#parent = infantry_equipment_0
		active = no
		priority = 10
		visual_level = 1
		
		#Misc Abilities
		reliability = 0.8
		maximum_speed = 40
		manpower = 500
		air_range = 2200

		air_agility = 2
		air_attack = 900
		air_defence = 2400
		air_bombing = 2100
		air_ground_attack = 900
		air_superiority = 70

		# Air vs Navy - high damage / low hit chance / hard to hurt
		naval_strike_attack = 300
		naval_strike_targetting = 24

		#Space taken in convoy
		lend_lease_cost = 90
		
		build_cost_ic = 15000
		resources = {
			wood = 0
			#rare_metal = 1
			#wood = 1
			#chemicals = 2
		}

		fuel_consumption = 0.5
		#food
	}


}



	
